Url,Company,Keyword,K repeated,Context,Evidence,Aim,Typology,Animal,Food,Resources,Distribution,Waste,Management,Actions
https://www.krispykreme.com/sustainability,Krispy Kreme,impact,3,"We are committed to making a positive impact on our world by Loving Our People, Loving Our Communities, and Loving Our Planet. ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/sustainability,Krispy Kreme,impact,3,"By focusing on areas where we believe we can have the greatest impact and create the most positive change, we strengthen our business and culture on our journey to become the world’s most loved sweet treat brand. ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,impact,3,"That’s why we’re reducing our impact on the planet and taking steps to protect our environment, and have launched new environmental initiatives across select major global markets.",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,sustainability,4,"Our initiatives are informed by Krispy Kreme’s materiality assessment, which identifies the issues that matter most to our business and stakeholders and helps focus our sustainability efforts on those areas where we can truly make a difference. ",FALSE,take action,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/sustainability,Krispy Kreme,sustainability,4,Coffee supplier sustainability certification. ,FALSE,take action,paragraph,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,energy,2,ENERGY USE & GHG EMISSIONS.,FALSE,take action,title,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/sustainability,Krispy Kreme,energy,2,Factory energy reduction initiatives.,FALSE,take action,subtitle,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/sustainability,Krispy Kreme,environmental,1,"That’s why we’re reducing our impact on the planet and taking steps to protect our environment, and have launched new environmental initiatives across select major global markets.",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,emissions,1,ENERGY USE & GHG EMISSIONS,FALSE,take action,title,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/about/faqs,Krispy Kreme,emissions,1,Progressively reduce Greenhouse Gas (GHG) emissions on existing plantations from all sources;,FALSE,take action,paragraph,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/menu/coffee-and-drinks/frozen-vanilla-latte,Krispy Kreme,natural,2,Natural Vanilla Flavor with other Natural Flavors,FALSE,dissemination,statement,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.krispykreme.com/menu/coffee-and-drinks/iced-vanilla-coffee,Krispy Kreme,natural,2,Natural Vanilla Flavor with other Natural Flavors,FALSE,dissemination,statement,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.krispykreme.com/grocery/mini-crullers-sharing-size,Krispy Kreme,natural,2,These tasty sweet mini crullers are created with all natural flavors and absolutely no high fructose corn syrup. They’re created with all natural flavors without a drop of high fructose corn syrup.,FALSE,dissemination,paragraph,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.krispykreme.com/grocery/doughnut-bites,Krispy Kreme,natural,2,We use all-natural flavors to create the delicious combination of apples and cinnamon. We use all-natural flavors and never include high fructose corn syrup.,FALSE,dissemination,paragraph,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,natural,1,That’s why we’re pursuing food waste reduction programs that mimic natural systems of regeneration across our global system.,FALSE,take action,paragraph,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
https://www.krispykreme.com/about/faqs,Krispy Kreme,greenhouse gas,1,Progressively reduce Greenhouse Gas (GHG) emissions on existing plantations from all sources;,FALSE,take action,paragraph,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/about/faqs,Krispy Kreme,deforestation,1,"Therefore, we require our shortening suppliers to be RSPO members and support the three fundamental principles of No Deforestation, No Development on Peat, and No Exploitation of People and Communities.",TRUE,take action,paragraph,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,planet,4,"We are committed to making a positive impact on our world by Loving Our People, Loving Our Communities, and Loving Our Planet. ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,planet,4,Loving Our Planet. ,FALSE,dissemination,statement,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.krispykreme.com/sustainability,Krispy Kreme,planet,4,"That’s why we’re reducing our impact on the planet and taking steps to protect our environment, and have launched new environmental initiatives across select major global markets. ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
https://www.krispykreme.com/sustainability,Krispy Kreme,planet,4,Krispy Kreme is committed to an ethical supply chain that operates with the best interest of our planet in mind.,FALSE,dissemination,paragraph,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
https://www.bk.com/corp-respon,Burger King,impact,5,"As a corporation, we define corporate responsibility as looking beyond a strong bottom line to consider the impact of everything we do.  ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://www.bk.com/corp-respon,Burger King,impact,5,"We continuously review our policies on animal welfare, sourcing and environmental impact to ensure that we remain good corporates citizens in the communities we serve.",FALSE,take action,paragraph,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
https://www.bk.com/corp-respon,Burger King,impact,5,Our teams actively research and develop ways to make changes that will positively impact the environment without compromising operational standards.,FALSE,take action,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.bk.com/corp-respon,Burger King,impact,5,"With thousands of restaurants and millions of guests around the world, we realize that even small changes we can make a big impact.",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://company.bk.com/diversity,Burger King,impact,1,"At Burger King Corporation, we recognize that each individual’s unique characteristics have an important impact on all aspects of our business.",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://company.bk.com/news-press/burger-king%C2%AE-introduces-new-satisfries%E2%84%A2-great-tasting-crinkle-cut-reduced-fat1-reduced,Burger King,impact,1,"“When it comes to what we eat, we know that small changes can have a big impact.",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
https://company.bk.com/news-press/celebrate-national-american-sign-language-day-burger-king%C2%AE-brand-king-breaking-his,Burger King,impact,2,"Inspired by BURGER KING® Brand Co-founder James W. McLamore, its mission is to make a positive impact in communities where BURGER KING® restaurants operate by building brighter futures through education and providing emergency hardship assistance to members of the BURGER KING® family. ",FALSE,dissemination,paragraph,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
